"","date","day","time","type","block_number","street1","street2","lat","long","wday","severity","area"
"2658",2016-05-07,"Saturday",13.8333333333333,"VANDALISM","2400","DURANT AVE",NA,37.867513,-122.26127,"weekend","3","E"
"2659",2016-05-12,"Thursday",7,"BURGLARY RESIDENTIAL","1600","SIXTY-SECOND ST",NA,37.872599,-122.303889,"weekday","4","W"
"2660",2015-12-01,"Tuesday",16.75,"BURGLARY AUTO",NA,"NINTH STREET","BANCROFT WAY",37.86328,-122.297383,"weekday","3","W"
"2661",2016-01-11,"Monday",13.0166666666667,"NARCOTICS",NA,"ADDISON STREET","SHATTUCK AVE",37.871167,-122.268285,"weekday","2","E"
"2662",2016-01-21,"Thursday",22.25,"ASSAULT/BATTERY FEL.","2300","TELEGRAPH AVE",NA,37.868714,-122.259189,"weekday","5","E"
"2663",2016-04-13,"Wednesday",8,"VEHICLE STOLEN","1900","SAN PABLO AVE",NA,37.870236,-122.292591,"weekday","4","W"
"2664",2016-03-27,"Sunday",0.5,"BURGLARY AUTO","1700","DERBY ST",NA,37.859259,-122.275787,"weekend","3","S"
"2665",2016-03-13,"Sunday",20.25,"THEFT MISD. (UNDER $950)","2700","GRANT ST",NA,37.85931,-122.273495,"weekend","2","S"
"2666",2016-04-22,"Friday",16,"THEFT MISD. (UNDER $950)","2200","SAN PABLO AVE",NA,37.866231,-122.291299,"weekday","2","W"
"2667",2016-04-23,"Saturday",14.45,"THEFT MISD. (UNDER $950)","1000","GILMAN ST",NA,37.88015,-122.297446,"weekend","2","W"
"2668",2016-01-03,"Sunday",17,"VANDALISM","2300","NINTH ST",NA,37.864109,-122.292948,"weekend","3","W"
"2669",2016-01-11,"Monday",9,"THEFT MISD. (UNDER $950)","2300","CURTIS ST",NA,37.864897,-122.288672,"weekday","2","W"
"2670",2016-02-04,"Thursday",11.0833333333333,"DISTURBANCE","2000","KITTREDGE ST",NA,37.868204,-122.270054,"weekday","1","S"
"2671",2016-02-12,"Friday",14.4,"DISTURBANCE",NA,"PARKER STREET","SAN PABLO AVE",37.859364,-122.288914,"weekday","1","W"
"2672",2016-03-15,"Tuesday",9,"VEHICLE STOLEN","1600","ALCATRAZ AVE",NA,37.848152,-122.275807,"weekday","4","S"
"2673",2016-05-07,"Saturday",12,"BURGLARY RESIDENTIAL","2000","DURANT AVE",NA,37.866426,-122.269762,"weekend","4","S"
"2674",2016-03-28,"Monday",21.9166666666667,"THEFT MISD. (UNDER $950)","1600","FRANCISCO ST",NA,37.874251,-122.280203,"weekday","2","W"
"2675",2016-02-29,"Monday",17.75,"VEHICLE STOLEN","1600","HARMON ST",NA,37.849099,-122.275932,"weekday","4","S"
"2676",2015-12-19,"Saturday",6.5,"ROBBERY","2500","DWIGHT WAY",NA,37.865134,-122.258331,"weekend","4","E"
"2677",2016-03-22,"Tuesday",11.3333333333333,"THEFT MISD. (UNDER $950)","1800","BERKELEY WAY",NA,37.872166,-122.275372,"weekday","2","W"
"2678",2016-03-21,"Monday",23.0666666666667,"FRAUD/FORGERY",NA,"PARDEE STREET","NINTH ST",37.856638,-122.290578,"weekday","1","W"
"2679",2016-03-12,"Saturday",19,"FRAUD/FORGERY","200","MARINA BLVD",NA,37.868667,-122.313656,"weekend","1","W"
"2680",2016-03-14,"Monday",12,"THEFT MISD. (UNDER $950)","1600","ALCATRAZ AVE",NA,37.848152,-122.275807,"weekday","2","S"
"2681",2016-04-14,"Thursday",14,"THEFT FROM AUTO","1700","MCGEE AVE",NA,37.875426,-122.278057,"weekday","4","W"
"2682",2016-02-03,"Wednesday",0.416666666666667,"NARCOTICS",NA,"MCGEE AVENUE","WARD ST",37.858367,-122.275604,"weekday","2","S"
"2683",2016-04-30,"Saturday",11.5,"BURGLARY AUTO","2300","FOURTH ST",NA,37.862843,-122.298368,"weekend","3","W"
"2684",2016-02-28,"Sunday",15.25,"THEFT MISD. (UNDER $950)","2100","FIFTH ST",NA,37.866288,-122.298344,"weekend","2","W"
"2685",2016-02-16,"Tuesday",8.55,"ROBBERY","3000","TELEGRAPH AVE",NA,37.855435,-122.259841,"weekday","4","S"
"2686",2016-01-14,"Thursday",18,"ASSAULT/BATTERY FEL.","3300","KING ST",NA,37.848453,-122.273607,"weekday","5","S"
"2687",2016-04-29,"Friday",18,"VANDALISM","3000","HILLEGASS AVE",NA,37.855651,-122.255006,"weekday","3","E"
"2688",2016-02-04,"Thursday",20.2333333333333,"ALCOHOL OFFENSE","2100","HEARST AVE",NA,37.873909,-122.268233,"weekday","1","E"
"2689",2016-05-05,"Thursday",2.55,"DISTURBANCE","2100","DWIGHT WAY",NA,37.863977,-122.267307,"weekday","1","S"
"2690",2016-05-05,"Thursday",8,"BURGLARY RESIDENTIAL","1600","WARD ST",NA,37.858132,-122.277595,"weekday","4","S"
"2691",2016-03-16,"Wednesday",22.1666666666667,"THEFT MISD. (UNDER $950)","2900","MAGNOLIA ST",NA,37.857825,-122.249088,"weekday","2","E"
"2692",2016-02-29,"Monday",18.75,"IDENTITY THEFT","1700","FIFTH ST",NA,37.87154,-122.300044,"weekday","1","W"
"2693",2016-05-26,"Thursday",0.5,"ALCOHOL OFFENSE","2300","FOURTH ST",NA,37.862843,-122.298368,"weekday","1","W"
"2694",2016-05-22,"Sunday",21,"NARCOTICS","3000","TELEGRAPH AVE",NA,37.855435,-122.259841,"weekend","2","S"
"2695",2015-12-19,"Saturday",18.75,"BURGLARY RESIDENTIAL","2200","HASTE ST",NA,37.865141,-122.265441,"weekend","4","E"
"2696",2016-02-20,"Saturday",11.5833333333333,"THEFT MISD. (UNDER $950)","2100","SHATTUCK AVE",NA,37.871167,-122.268285,"weekend","2","E"
"2697",2016-03-21,"Monday",10,"BURGLARY AUTO","700","ALLSTON WAY",NA,37.864703,-122.299654,"weekday","3","W"
"2698",2015-12-02,"Wednesday",10.1666666666667,"BURGLARY AUTO","2000","HASTE ST",NA,37.86456,-122.269954,"weekday","3","S"
"2699",2016-02-12,"Friday",8,"BURGLARY AUTO","1300","BONITA AVE",NA,37.883407,-122.273154,"weekday","3","N"
"2700",2016-04-15,"Friday",10,"VANDALISM",NA,"SHATTUCK AVENUE","BERKELEY WAY",37.872989,-122.268532,"weekday","3","E"
"2701",2016-02-20,"Saturday",2.41666666666667,"SEXUAL ASSAULT MISD.","2400","PARKER ST",NA,37.863072,-122.260352,"weekend","3","E"
"2702",2016-03-22,"Tuesday",8.5,"THEFT FROM AUTO",NA,"OXFORD STREET","HEARST AVE",37.874145,-122.266225,"weekday","4","E"
"2703",2016-05-25,"Wednesday",12.3333333333333,"FRAUD/FORGERY","2000","DURANT AVE",NA,37.866426,-122.269762,"weekday","1","S"
"2704",2015-12-22,"Tuesday",13,"BURGLARY COMMERCIAL","1600","SHATTUCK AVE",NA,37.878112,-122.269114,"weekday","2","N"
"2705",2016-02-18,"Thursday",14,"THEFT MISD. (UNDER $950)","2100","MILVIA ST",NA,37.870603,-122.270612,"weekday","2","E"
"2706",2016-03-06,"Sunday",0,"THEFT MISD. (UNDER $950)",NA,"OXFORD STREET","UNIVERSITY AVE",37.872472,-122.266164,"weekend","2","E"
"2707",2015-12-04,"Friday",14.8833333333333,"BURGLARY COMMERCIAL","1800","FOURTH ST",NA,37.869944,-122.300636,"weekday","2","W"
"2708",2016-01-28,"Thursday",12,"THEFT FELONY (OVER $950)","2300","TELEGRAPH AVE",NA,37.868714,-122.259189,"weekday","5","E"
"2709",2016-05-07,"Saturday",21.9833333333333,"NARCOTICS","1800","ALCATRAZ AVE",NA,37.848854,-122.270569,"weekend","2","S"
"2710",2016-05-24,"Tuesday",22,"THEFT FELONY (OVER $950)","1714","MARTIN LUTHER KING JR WAY",NA,37.87533,-122.27344,"weekday","5","N"
"2711",2016-01-12,"Tuesday",17.5666666666667,"ASSAULT/BATTERY MISD.","1500","TYLER ST",NA,37.852422,-122.278571,"weekday","4","S"
"2712",2016-02-03,"Wednesday",18,"VEHICLE STOLEN","1500","LINCOLN ST",NA,37.875807,-122.282478,"weekday","4","W"
"2713",2016-02-16,"Tuesday",12,"IDENTITY THEFT","2200","DWIGHT WAY",NA,37.864238,-122.265263,"weekday","1","E"
"2714",2016-03-01,"Tuesday",0,"THEFT FELONY (OVER $950)","1700","PARKER ST",NA,37.861081,-122.275984,"weekday","5","S"
"2715",2016-05-20,"Friday",16.1333333333333,"ROBBERY",NA,"ACTON STREET","UNIVERSITY AVE",37.870054,-122.284263,"weekday","4","W"
"2716",2015-12-20,"Sunday",12,"VEHICLE STOLEN",NA,"DWIGHT WAY","PIEDMONT AVE",37.8659,-122.251095,"weekend","4","E"
"2717",2016-04-28,"Thursday",16,"FRAUD/FORGERY","1800","SOLANO AVE",NA,37.891332,-122.279975,"weekday","1","N"
"2718",2016-02-10,"Wednesday",0.0666666666666667,"NARCOTICS",NA,"BERKELEY WAY","WALNUT ST",37.873252,-122.267047,"weekday","2","E"
"2719",2016-04-16,"Saturday",21.4833333333333,"BURGLARY COMMERCIAL","800","BANCROFT WAY",NA,37.863373,-122.296893,"weekend","2","W"
"2720",2016-05-05,"Thursday",14.8333333333333,"THEFT MISD. (UNDER $950)",NA,"CENTER STREET","SHATTUCK AVE",37.870346,-122.267796,"weekday","2","E"
"2721",2016-01-11,"Monday",21.9666666666667,"DISTURBANCE","2600","TELEGRAPH AVE",NA,37.862927,-122.258784,"weekday","1","E"
"2722",2016-04-24,"Sunday",11.2166666666667,"THEFT MISD. (UNDER $950)","800","GILMAN ST",NA,37.879165,-122.302305,"weekend","2","W"
"2723",2015-12-15,"Tuesday",15,"IDENTITY THEFT","1000","LASSEN ST",NA,37.88927,-122.274732,"weekday","1","N"
"2724",2016-03-24,"Thursday",23.5,"VANDALISM","1900","WARD ST",NA,37.858856,-122.271592,"weekday","3","S"
"2725",2015-12-31,"Thursday",21.5,"BURGLARY AUTO","200","MARINA BLVD",NA,37.868667,-122.313656,"weekday","3","W"
"2726",2016-01-25,"Monday",21.5666666666667,"ROBBERY","3000","SHATTUCK AVE",NA,37.855026,-122.266475,"weekday","4","S"
"2727",2015-12-08,"Tuesday",17.15,"THEFT MISD. (UNDER $950)","2000","OREGON ST",NA,37.857409,-122.268473,"weekday","2","S"
"2728",2016-05-10,"Tuesday",17,"BURGLARY AUTO","100","UNIVERSITY AVE",NA,37.86331,-122.316113,"weekday","3","W"
"2729",2015-12-28,"Monday",21,"VANDALISM","800","POTTER ST",NA,37.851255,-122.292509,"weekday","3","S"
"2730",2016-02-01,"Monday",10.8333333333333,"IDENTITY THEFT","1200","SIXTY-FIFTH ST",NA,37.880786,-122.303067,"weekday","1","W"
"2731",2016-02-05,"Friday",1.25,"DISTURBANCE","900","MURRAY ST",NA,37.850809,-122.291042,"weekday","1","S"
"2732",2016-01-17,"Sunday",20.5,"BURGLARY RESIDENTIAL","1100","UNIVERSITY AVE",NA,37.869151,-122.291342,"weekend","4","W"
"2733",2016-01-14,"Thursday",18,"VEHICLE STOLEN",NA,"CURTIS STREET","UNIVERSITY AVE",37.869488,-122.289522,"weekday","4","W"
"2734",2016-05-21,"Saturday",0,"BURGLARY RESIDENTIAL","2900","STANTON ST",NA,37.854747,-122.280361,"weekend","4","S"
"2735",2015-12-08,"Tuesday",8.58333333333333,"DISTURBANCE","2100","SHATTUCK AVE",NA,37.871167,-122.268285,"weekday","1","E"
"2736",2016-02-08,"Monday",13.75,"DISTURBANCE",NA,"MILVIA STREET","BANCROFT WAY",37.867291,-122.270245,"weekday","1","S"
"2737",2016-05-20,"Friday",18,"VEHICLE STOLEN","2900","DWIGHT WAY",NA,37.865991,-122.249582,"weekday","4","E"
"2738",2016-05-20,"Friday",13,"BURGLARY RESIDENTIAL","1600","CHESTNUT ST",NA,37.875657,-122.288727,"weekday","4","W"
"2739",2016-02-26,"Friday",0,"THEFT MISD. (UNDER $950)","1000","SHATTUCK AVE",NA,37.889494,-122.269171,"weekday","2","N"
"2740",2015-12-02,"Wednesday",8.16666666666667,"THEFT MISD. (UNDER $950)","1400","HAWTHORNE TER",NA,37.882459,-122.261815,"weekday","2","E"
"2741",2016-03-28,"Monday",14.7166666666667,"BURGLARY AUTO",NA,"BANCROFT WAY","FIFTH ST",37.86328,-122.297383,"weekday","3","W"
"2742",2016-02-09,"Tuesday",8,"VANDALISM","1900","SAN PABLO AVE",NA,37.870236,-122.292591,"weekday","3","W"
"2743",2016-03-26,"Saturday",23.5,"BURGLARY AUTO","1700","DERBY ST",NA,37.859259,-122.275787,"weekend","3","S"
"2744",2016-05-10,"Tuesday",19,"VEHICLE STOLEN","1000","KEITH AVE",NA,37.890366,-122.266998,"weekday","4","N"
"2745",2016-04-03,"Sunday",19.0833333333333,"NARCOTICS",NA,"SEVENTH STREET","PAGE ST",37.876644,-122.299354,"weekend","2","W"
"2746",2016-05-18,"Wednesday",11.1666666666667,"THEFT MISD. (UNDER $950)","1800","UNIVERSITY AVE",NA,37.871246,-122.274991,"weekday","2","W"
"2747",2016-02-09,"Tuesday",22,"DISTURBANCE","1300","DELAWARE ST",NA,37.872525,-122.286625,"weekday","1","W"
"2748",2016-03-30,"Wednesday",10,"THEFT FELONY (OVER $950)","2500","NINTH ST",NA,37.860116,-122.29166,"weekday","5","W"
"2749",2016-03-30,"Wednesday",9.66666666666667,"BURGLARY RESIDENTIAL","1500","SCENIC AVE",NA,37.880893,-122.263673,"weekday","4","N"
"2750",2016-04-12,"Tuesday",0.416666666666667,"THEFT FROM AUTO","3000","SHATTUCK AVE",NA,37.855026,-122.266475,"weekday","4","S"
"2751",2016-05-19,"Thursday",12,"THEFT MISD. (UNDER $950)","3100","TELEGRAPH AVE",NA,37.853875,-122.260048,"weekday","2","S"
